date,CVX,GSCI
2016/10/16,0.002174129,0.000417084
2016/10/23,0.024572219,-0.015469954
2016/10/30,0.009204284,-0.058183909
2016/11/6,0.017595762,0.005995753
2016/11/13,0.023722387,0.023956562
2016/11/20,0.016349138,0.014974321
2016/11/27,0.017857617,0.056559805
2016/12/4,0.024563098,0.01146287
2016/12/11,0.019411444,0.006685669
2016/12/18,0.002875266,-0.004012721
2016/12/25,-0.006098613,0.015985804
2017/1/1,-0.007333537,-6.60487E-05
2017/1/8,-0.003944778,0.004198843
2017/1/15,-0.006724743,-0.001104015
2017/1/22,-0.015781312,-0.004876021
2017/1/29,-0.001935257,0.007291907
2017/2/5,-0.004589188,0.018449661
2017/2/12,-0.024354324,-0.011858925
2017/2/19,-0.001905194,-0.002967487
2017/2/26,0.030672588,-0.008169783
2017/3/5,-0.026232768,-0.047539234
2017/3/12,-0.026846635,0.008020474
2017/3/19,0.002874764,-0.013107886
2017/3/26,-0.005757817,0.026348109
2017/4/2,0.01378184,0.017807679
2017/4/9,-0.025680607,0.016027508
2017/4/16,-0.011469864,-0.047302259
2017/4/23,0.017108976,-0.000693395
2017/4/30,-0.008565161,-0.030166282
2017/5/7,0.001605667,0.021586235
2017/5/14,0.005271097,0.029972984
2017/5/21,-0.017042639,-0.014265459
2017/5/28,-0.015493742,-0.029386316
2017/6/4,0.031409197,-0.012182146
2017/6/11,0.018161151,-0.015365932
2017/6/18,-0.031406378,-0.028882638
2017/6/25,-0.006401398,0.051174364
2017/7/2,-0.008083963,-0.018621326
2017/7/9,0.009137754,0.021516072
2017/7/16,-0.011459512,-0.006138381
2017/7/23,0.04608849,0.04078919
2017/7/30,0.018238145,-0.005495326
2017/8/6,-0.008024115,-0.003935113
2017/8/13,-0.025498577,-0.006062536
2017/8/20,0.016301418,-0.004274641
2017/8/27,0.004885027,0.019138126
2017/9/3,0.018402633,0.002076619
2017/9/10,0.034163298,0.022248975
2017/9/17,0.02293995,0.00539644
2017/9/24,0.001788833,0.003187328
2017/10/1,-0.004008021,-0.018857499
2017/10/8,0.018036816,0.027562868
2017/10/15,-0.00437343,-0.001035791
2017/10/22,-0.0439385,0.023715119
2017/10/29,0.01268997,0.020551177
2017/11/5,0.018866046,0.01882806
2017/11/12,-0.02130401,-0.007582304
2017/11/19,0.015569902,0.013727801
2017/11/26,0.025422944,-0.004056864
2017/12/3,0.003424804,-0.021548618
2017/12/10,-0.001585646,-0.001493756
2017/12/17,0.042914517,0.022696551
2017/12/24,0.001678859,0.030054848
2017/12/31,0.021416125,0.002979493
2018/1/7,0.043601553,0.021131926
2018/1/14,-0.01736548,-0.006331545
2018/1/21,-0.000838127,0.028612697
2018/1/28,-0.101058816,-0.015025415
2018/2/4,-0.043785001,-0.063312288
2018/2/11,-0.012054746,0.034556561
2018/2/18,0.004004811,0.01773347
2018/2/25,-0.008473493,-0.022315489
2018/3/4,0.048773102,0.006393077
2018/3/11,-0.015648157,0.000523269
2018/3/18,-0.021193542,0.023439961
2018/3/25,0.009338452,-0.004931572
2018/4/1,0.006293727,-0.020547218
2018/4/8,0.043981863,0.05391943
2018/4/15,0.019733952,0.011602159
2018/4/22,0.03463167,-0.001300841
2018/4/29,-0.008645701,0.013229309
2018/5/6,0.033758149,0.010315653
2018/5/13,-0.015367008,0.009662566
2018/5/20,-0.045358705,-0.014539771
2018/5/27,0.013493946,-0.010339522
2018/6/3,0.020696731,-0.001976541
2018/6/10,-0.019163793,-0.026720047
2018/6/17,0.008509323,0.016761555
2018/6/24,0.010575378,0.03334544
2018/7/1,-0.018278834,-0.013855888
2018/7/8,-0.000805867,-0.036781429
2018/7/15,-0.01437238,-0.012568259
2018/7/22,0.029812069,0.015344044
2018/7/29,-0.015359073,-0.005421235
2018/8/5,-0.005739941,-0.008620285
2018/8/12,-0.045956498,-0.014390499
2018/8/19,0.010219252,0.026566325
2018/8/26,-0.004632172,0.01050328
2018/9/2,-0.033127547,-0.016472446
2018/9/9,0.023968731,0.007232084
2018/9/16,0.031447814,0.02016876
2018/9/23,0.009449148,0.025917443
2018/9/30,0.024636762,0.016381316
2018/10/7,-0.062216689,-0.028000143
2018/10/14,0.003136792,-0.01243537
2018/10/21,-0.057576749,-0.014089937
2018/10/28,0.028287929,-0.038197019
2018/11/4,0.040818508,-0.022416894
2018/11/11,-0.003772482,-0.018729497
2018/11/18,-0.046944061,-0.068981043
2018/11/25,0.045935658,0.007317622
2018/12/2,-0.029435218,0.023560914
2018/12/9,-0.014477839,-0.024627606
2018/12/16,-0.088298013,-0.065559794
2018/12/23,0.041723613,-0.014126013
2018/12/30,0.019775557,0.031026321
2019/1/6,0.015401451,0.040844228
2019/1/13,0.016130093,0.025182749
2019/1/20,-0.010105978,-0.008530705
2019/1/27,0.044482483,0.008777528
2019/2/3,-0.006696359,-0.013180276
2019/2/10,0.0149414,0.037310773
2019/2/17,0.000335093,0.014185729
2019/2/24,0.021871471,-0.019032634
2019/3/3,-0.003365486,0.001161305
2019/3/10,0.029889237,0.024899843
2019/3/17,-0.017874872,0.003920162
2019/3/24,0.000730905,-0.000111713
2019/3/31,0.025962997,0.029829684
2019/4/7,-0.054119957,0.011554819
2019/4/14,0.000834655,-0.003587008
2019/4/21,-0.023296124,-0.012295806
2019/4/28,0.001450698,-0.010171949
2019/5/5,0.039460106,-0.014841061
2019/5/12,-0.01212336,0.019750597
2019/5/19,-0.01513217,-0.036490149
2019/5/26,-0.041801752,-0.046394244
2019/6/2,0.064867848,-0.001461963
2019/6/9,-0.005530577,-0.00051073
2019/6/16,0.033534517,0.034289107
2019/6/23,-0.003929908,0.009926904
2019/6/30,-0.007258682,-0.007118358
2019/7/7,0.019558174,0.028687572
2019/7/14,-0.007489478,-0.044015617
2019/7/21,-0.010612738,0.0018549
2019/7/28,-0.0244643,-0.021893406
